Time,X_o,Y_o,Z
0,0,0,0.788786945923609
2,10,24.9998958334635,0.780202861591903
4,20,49.9991666708333,0.782486935396598
6,30,74.9971875316404,0.77955769762603
8,40,99.9933334666654,0.778384763836326
10,50,124.986979573562,0.794463523712645
12,60,149.977501012478,0.8022930913968
14,70,174.964273021681,0.7960444147327
16,80,199.946670933171,0.78911028920538
18,90,224.924070188301,0.791336617992118
20,100,249.895846353392,0.774072790455909
22,110,274.861375135339,0.798429789962686
24,120,299.820032397223,0.798653753190183
26,130,324.771194173913,0.768405051609768
28,140,349.714236687664,0.774136883193665
30,150,374.648536363712,0.796819846259715
32,160,399.573469845863,0.779753580693734
34,170,424.48841401208,0.777631143096107
36,180,449.392745990055,0.75773419530514
38,190,474.285843172786,0.780097745293239
40,200,499.167083234141,0.774880027140392
42,210,524.035844144412,0.774356717248765
44,220,548.891504185874,0.764149531839587
46,230,573.733441968319,0.78420974441941
48,240,598.561036444597,0.807109873699529
50,250,623.373666926138,0.772972580072124
52,260,648.170713098474,0.777506660141125
54,270,672.951555036742,0.781965598920912
56,280,697.715573221182,0.770481726352472
58,290,722.462148552632,0.782993254626675
60,300,747.190662367996,0.77734293165651
62,310,771.900496455717,0.770985978938792
64,320,796.59103307123,0.775944571528341
66,330,821.261654952405,0.783072536970713
68,340,845.91174533498,0.766633156604519
70,350,870.54068796798,0.777049317481121
72,360,895.147867129121,0.776112736332411
74,370,919.732667640206,0.766916157751326
76,380,944.294474882503,0.787352810488328
78,390,968.83267481211,0.762009094980607
80,400,993.346653975306,0.78172502680356
82,410,1017.83579952389,0.765027430801127
84,420,1042.2994992305,0.771623419386519
86,430,1066.73714150391,0.784347915776681
88,440,1091.14811540435,0.775956669686259
90,450,1115.53181065873,0.754332183714809
92,460,1139.88761767594,0.764400206686545
94,470,1164.21492756208,0.763221347211541
96,480,1188.51313213567,0.762745813127831
98,490,1212.78162394286,0.775931252021778
100,500,1237.01979627261,0.773395885431616
102,510,1261.22704317189,0.757847885589672
104,520,1285.40275946078,0.8043241475214
106,530,1309.54634074762,0.7717448050552
108,540,1333.65718344416,0.751625311675126
110,550,1357.73468478056,0.768157289140409
112,560,1381.77824282057,0.763736507645388
114,570,1405.78725647647,0.761318589635856
116,580,1429.76112552418,0.760571594823356
118,590,1453.69925061821,0.781801739292248
120,600,1477.6010333067,0.772268090010557
122,610,1501.46587604631,0.76827400044725
124,620,1525.29318221722,0.766903546179567
126,630,1549.08235613801,0.768307954293164
128,640,1572.83280308059,0.763442759197066
130,650,1596.543929285,0.756977781964576
132,660,1620.21514197434,0.748542118840062
134,670,1643.84584936952,0.768276797165126
136,680,1667.43546070407,0.762205908648332
138,690,1690.98338623896,0.757320606762977
140,700,1714.48903727726,0.763117500298116
142,710,1737.95182617892,0.769945525090457
144,720,1761.37116637545,0.765436997662886
146,730,1784.74647238456,0.772314270812505
148,740,1808.07715982481,0.770904872319768
150,750,1831.36264543024,0.772424775824732
152,760,1854.60234706491,0.766251209087512
154,770,1877.79568373751,0.756471277166042
156,780,1900.94207561581,0.785314094813197
158,790,1924.04094404123,0.780498450566718
160,800,1947.09171154325,0.751126751946934
162,810,1970.0938018539,0.764952914836336
164,820,1993.04663992211,0.744829116709779
166,830,2015.94965192813,0.774296216029502
168,840,2038.80226529785,0.76286447960019
170,850,2061.60390871712,0.75226005948917
172,860,2084.35401214605,0.732728476370594
174,870,2107.05200683324,0.739014643876658
176,880,2129.69732533,0.782445524300961
178,890,2152.28940150454,0.742994643107268
180,900,2174.82767055615,0.76825756994125
182,910,2197.31156902927,0.75330336171415
184,920,2219.7405348276,0.763666768179374
186,930,2242.11400722817,0.771040606230047
188,940,2264.43142689534,0.765806155533999
190,950,2286.69223589478,0.770808665546621
192,960,2308.89587770741,0.762754368921881
194,970,2331.04179724336,0.75445654955225
196,980,2353.12944085579,0.779290857021194
198,990,2375.15825635475,0.769888576236368
200,1000,2397.12769302102,0.745427022251188
202,1010,2419.0372016198,0.746439224409401
204,1020,2440.88623441454,0.765447491594735
206,1030,2462.67424518054,0.761190894764118
208,1040,2484.40068921868,0.759818111718775
210,1050,2506.06502336899,0.759275672825706
212,1060,2527.66670602423,0.750438004731157
214,1070,2549.20519714348,0.759618701778351
216,1080,2570.67995826557,0.776376319306046
218,1090,2592.09045252259,0.75428852703731
220,1100,2613.4361446533,0.743415451668439
222,1110,2634.71650101651,0.731894601887523
224,1120,2655.93098960442,0.762711196017904
226,1130,2677.07908005592,0.75601649741076
228,1140,2698.16024366985,0.757961043951378
230,1150,2719.17395341821,0.754989921972787
232,1160,2740.11968395937,0.74096240401078
234,1170,2760.99691165114,0.765693968962269
236,1180,2781.80511456392,0.7745019991375
238,1190,2802.54377249372,0.756551122794615
240,1200,2823.21236697518,0.757549503490393
242,1210,2843.8103812945,0.754433005249627
244,1220,2864.33730050241,0.758349979816676
246,1230,2884.79261142698,0.749483888025542
248,1240,2905.17580268653,0.742317265019474
250,1250,2925.48636470231,0.757032099268149
252,1260,2945.72378971135,0.750360636105976
254,1270,2965.88757177906,0.752877895919548
256,1280,2985.97720681196,0.738258892069607
258,1290,3005.99219257021,0.760059621872307
260,1300,3025.9320286802,0.752936649935887
262,1310,3045.79621664707,0.745399464689638
264,1320,3065.58425986717,0.736700248954845
266,1330,3085.29566364043,0.755764385025
268,1340,3104.9299351828,0.751242101534719
270,1350,3124.4865836385,0.75590473162115
272,1360,3143.96512009234,0.752354803153217
274,1370,3163.36505758193,0.76514980056412
276,1380,3182.68591110984,0.746098191706563
278,1390,3201.92719765574,0.745753517841172
