Time,X_o,Y_o,Z
0,0,0,0.789780739417556
2,10,24.9998958334635,0.770432864598252
4,20,49.9991666708333,0.765597288963129
6,30,74.9971875316404,0.792103673296717
8,40,99.9933334666654,0.773998621380837
10,50,124.986979573562,0.78928047367084
12,60,149.977501012478,0.788237247007405
14,70,174.964273021681,0.792877298183558
16,80,199.946670933171,0.779500181346173
18,90,224.924070188301,0.788871315873018
20,100,249.895846353392,0.785825495780399
22,110,274.861375135339,0.804539284934825
24,120,299.820032397223,0.790972041337442
26,130,324.771194173913,0.776763891714767
28,140,349.714236687664,0.775065125109237
30,150,374.648536363712,0.783444862852382
32,160,399.573469845863,0.788465099091076
34,170,424.48841401208,0.778567683245696
36,180,449.392745990055,0.772662856142848
38,190,474.285843172786,0.79658134266194
40,200,499.167083234141,0.779554357566589
42,210,524.035844144412,0.761422038565897
44,220,548.891504185874,0.757376862448526
46,230,573.733441968319,0.782400337366714
48,240,598.561036444597,0.774959057687625
50,250,623.373666926138,0.789166915212818
52,260,648.170713098474,0.779812962902944
54,270,672.951555036742,0.780298479829028
56,280,697.715573221182,0.787210157743541
58,290,722.462148552632,0.770427426865151
60,300,747.190662367996,0.777777686947872
62,310,771.900496455717,0.780469686133641
64,320,796.59103307123,0.784072951230726
66,330,821.261654952405,0.795096912908188
68,340,845.91174533498,0.780438609353031
70,350,870.54068796798,0.769052829504341
72,360,895.147867129121,0.772788341923718
74,370,919.732667640206,0.767680541089732
76,380,944.294474882503,0.782789763468844
78,390,968.83267481211,0.775146885033788
80,400,993.346653975306,0.756655090037482
82,410,1017.83579952389,0.779270954608971
84,420,1042.2994992305,0.777822274962329
86,430,1066.73714150391,0.787608170273206
88,440,1091.14811540435,0.772858134202562
90,450,1115.53181065873,0.771653646130515
92,460,1139.88761767594,0.777557975746641
94,470,1164.21492756208,0.782145831588526
96,480,1188.51313213567,0.766753406417005
98,490,1212.78162394286,0.755101240001147
100,500,1237.01979627261,0.780169599815516
102,510,1261.22704317189,0.755701556351526
104,520,1285.40275946078,0.772405234512692
106,530,1309.54634074762,0.777081676939987
108,540,1333.65718344416,0.771745474708064
110,550,1357.73468478056,0.780953779822004
112,560,1381.77824282057,0.767592889392245
114,570,1405.78725647647,0.766086052308818
116,580,1429.76112552418,0.767161423069805
118,590,1453.69925061821,0.761659749477797
120,600,1477.6010333067,0.77972585721751
122,610,1501.46587604631,0.768539227829837
124,620,1525.29318221722,0.772579686776566
