INPUT_FILE,DIMENSIONS,SEED,SAMPLING_TIME,PARAM_SET,FITNESS,SOLUTION,ELAPSED_TIME
../../data/output_linear.csv,4,1,2,0,0.193581,"28720 28600 9.99597 9.25",5.62727
../../data/output_linear.csv,4,2,2,0,0.188863,"29940 29660 8.305 7.395",5.7845
../../data/output_linear.csv,4,3,2,0,0.191701,"29919.7 29959.9 9.29535 8.44964",5.50346
../../data/output_linear.csv,4,4,2,0,0.18328,"31781.3 31949.9 7.18518 6.01242",5.87643
../../data/output_linear.csv,4,5,2,0,0.211234,"31840 31080 9.9985 9.99887",6.37366
../../data/output_linear.csv,4,6,2,0,0.207734,"31940 31500 9.99532 9.735",5.6598
../../data/output_linear.csv,4,7,2,0,0.210055,"31880 31280 9.9931 9.99927",5.69013
../../data/output_linear.csv,4,8,2,0,0.210217,"31660 30900 9.99743 9.98523",5.79481
../../data/output_linear.csv,4,9,2,0,0.20966,"26960 26840 9.99343 9.05",5.59435
../../data/output_linear.csv,4,10,2,0,0.209972,"31220 30940 9.97911 9.515",5.97412
../../data/output_linear.csv,6,1,2,0,0.18667,"32400 31800 9.56 9.98504 -0.00208 -0.003",7.70285
../../data/output_linear.csv,6,2,2,0,0.315917,"39981.3 39847.3 9.125 9.735 -0.00302 -0.0041",7.54337
../../data/output_linear.csv,6,3,2,0,0.311401,"39870.1 39944.7 8.73 8.86 -0.00348 -0.0044",7.48018
../../data/output_linear.csv,6,4,2,0,0.362341,"39980.5 39862.1 8.535 9.89102 -0.00554 -0.00774",8.22286
../../data/output_linear.csv,6,5,2,0,0.347617,"39654.1 39672.2 9.93799 9.86635 -0.00488 -0.0058",7.98935
../../data/output_linear.csv,6,6,2,0,0.323025,"37309 36480.3 8.045 8.535 0.00415627 0.00462874",7.95362
../../data/output_linear.csv,6,7,2,0,0.253962,"28520 29879.3 8.18591 5.2 -0.000834849 0",7.67379
../../data/output_linear.csv,6,8,2,0,0.320983,"39954.3 39744.2 8.115 9.405 -0.00466 -0.0067",7.80425
../../data/output_linear.csv,6,9,2,0,0.33301,"28160 27880 9.9858 9.97262 0.0084 0.00989407",8.21215
../../data/output_linear.csv,6,10,2,0,0.281427,"39899.3 39906.3 6.065 6.355 -0.00166 -0.00258",7.56672
../../data/output_linear.csv,8,1,2,0,0.710755,"35020 33114.9 8 5.22361 -0.00114562 0.00932873 3.62351e-05 3.76953e-05",9.16241
../../data/output_linear.csv,8,2,2,0,0.67254,"39547.5 38982.9 9.97251 5.475 -0.00422 0.0092417 8.82e-05 9.8405e-05",8.97052
../../data/output_linear.csv,8,3,2,0,0.675819,"39367.7 38085.8 9.99597 6.86 -0.00156 0.00904689 8.63937e-05 9.96347e-05",8.8985
../../data/output_linear.csv,8,4,2,0,0.772244,"38197 35938.1 9.635 8.41767 -0.00546 0.00324814 8.33157e-05 9.66627e-05",8.83854
../../data/output_linear.csv,8,5,2,0,0.644722,"39918.6 39693.9 7.54 7.55 0.00971769 0.00998849 6.4e-06 1e-05",9.02842
../../data/output_linear.csv,8,6,2,0,0.664203,"39472.8 37900 9.9324 5.095 -0.00542 0.00979183 9.14637e-05 9.9676e-05",9.30488
../../data/output_linear.csv,8,7,2,0,0.678229,"39792.3 39650.8 9.98982 5 0.00172 0.00994201 8.04e-05 9.79587e-05",8.86721
../../data/output_linear.csv,8,8,2,0,0.750132,"39953.4 38646.3 9.99142 6.345 -0.00314 0.00971798 8.70208e-05 9.51036e-05",9.41821
../../data/output_linear.csv,8,9,2,0,0.696713,"39761.5 39158.8 9.7606 9.98913 0.00862058 0.0096636 2e-05 2.68e-05",9.28504
../../data/output_linear.csv,8,10,2,0,0.749408,"39574.5 39866.4 9.96305 6.075 0.0009 0.00494 7.86e-05 9.87547e-05",9.44079
../../data/output_polynomial.csv,4,1,2,0,205.465,"39439.4 21720 9.60558 5.01",6.35444
../../data/output_polynomial.csv,4,2,2,0,205.969,"38319.2 22780 9.80101 5.035",6.66998
../../data/output_polynomial.csv,4,3,2,0,205.216,"39887.8 21920 9.79566 5.14",6.68827
../../data/output_polynomial.csv,4,4,2,0,203.387,"37896.5 20420 9.99845 5.085",6.46897
../../data/output_polynomial.csv,4,5,2,0,202.831,"39054.9 22280 9.9046 5.03",6.50827
../../data/output_polynomial.csv,4,6,2,0,204.142,"39146.8 22220 9.76607 5.015",6.79625
../../data/output_polynomial.csv,4,7,2,0,203.437,"39501.4 24080 9.95 5",6.05008
../../data/output_polynomial.csv,4,8,2,0,203.039,"39640.1 21780 9.87758 5.065",6.53632
../../data/output_polynomial.csv,4,9,2,0,205.172,"39618 23320 9.84516 5.09",6.0623
../../data/output_polynomial.csv,4,10,2,0,205.269,"36820 21340 9.88043 5.035",6.19083
../../data/output_polynomial.csv,6,1,2,0,1.54453,"30499.2 32761.2 9.78632 5.19 0.00123085 -0.00884",7.83451
../../data/output_polynomial.csv,6,2,2,0,2.11672,"35384.2 36152.9 6.99225 6.415 0.00519523 -0.00986",7.50218
../../data/output_polynomial.csv,6,3,2,0,1.39434,"33826.4 37615.8 9.56466 5.04 0.00158223 -0.00992",8.06515
../../data/output_polynomial.csv,6,4,2,0,1.92067,"31670.8 30679 6.94469 8.085 0.00476499 -0.0099",7.43766
../../data/output_polynomial.csv,6,5,2,0,2.19605,"27797.4 28988.9 7.91548 7.74773 0.00289961 -0.00932",8.22033
../../data/output_polynomial.csv,6,6,2,0,2.21636,"30743.8 35595.4 7.585 5.035 0.0039985 -0.00898",7.60068
../../data/output_polynomial.csv,6,7,2,0,1.02676,"35595 36252.1 5.77 6.02 0.00324 -0.01",7.69647
../../data/output_polynomial.csv,6,8,2,0,1.64975,"23420 25060 9.46129 9.70912 0.00531807 -0.0099",7.39208
../../data/output_polynomial.csv,6,9,2,0,1.97343,"34364 38836 9.40778 5.23 0.00351837 -0.00996",8.30786
../../data/output_polynomial.csv,6,10,2,0,1.59917,"33749.4 35044.1 9.75637 6.035 0.00059129 -0.00978",8.09007
../../data/output_polynomial.csv,8,1,2,0,1.22678,"39482.5 35234.2 5.28 8.69584 -0.00512 0.00571463 2.72567e-05 -1.57386e-05",9.42684
../../data/output_polynomial.csv,8,2,2,0,0.826323,"38457.1 39743.5 5.705 9.50167 0.00663995 -0.00626 4.99999e-06 -6.291e-06",9.36552
../../data/output_polynomial.csv,8,3,2,0,2.19807,"35626.4 39229.7 9.97955 9.09874 0.00365474 0.00464135 1.08e-05 -1.6e-05",9.89957
../../data/output_polynomial.csv,8,4,2,0,0.701369,"37594.6 38191 9.06787 8.765 0.00963507 0.00639766 3.8e-06 -1.7759e-05",8.72465
../../data/output_polynomial.csv,8,5,2,0,0.759036,"39006 37969.8 8.43251 9.83852 0.00365179 0.00718562 1.19552e-05 -1.88e-05",8.71791
../../data/output_polynomial.csv,8,6,2,0,2.27666,"37251.7 39513.6 9.5253 8.04949 0.00225939 0.0045809 1.22e-05 -1.46e-05",9.24108
../../data/output_polynomial.csv,8,7,2,0,0.620692,"35848.4 32321.8 6.27 8.87031 0.00445916 0.0093725 1.55521e-05 -1.92939e-05",9.36353
../../data/output_polynomial.csv,8,8,2,0,1.0782,"36811.4 38993.7 8.655 9.905 0.00756383 0.000495276 6.1266e-06 -1.26e-05",9.53263
../../data/output_polynomial.csv,8,9,2,0,1.04433,"34160 35097.9 8.72882 5.81 0.00605026 0.00305625 5.13927e-06 -1.16e-05",8.84546
../../data/output_polynomial.csv,8,10,2,0,0.831161,"38580 37975.4 9.59813 9.59005 0.00473313 0.00898253 1.5882e-05 -2.02e-05",8.86329
../../data/output_uniformly_accelerated.csv,4,1,2,0,0.318925,"38980.5 36760 5 8.21",5.93966
../../data/output_uniformly_accelerated.csv,4,2,2,0,0.333155,"39995.5 37340 5.785 9.95043",5.94079
../../data/output_uniformly_accelerated.csv,4,3,2,0,0.339094,"39971.5 36960 5.61 9.89443",6.75014
../../data/output_uniformly_accelerated.csv,4,4,2,0,0.3331,"39915 37220 5.595 9.7839",6.47735
../../data/output_uniformly_accelerated.csv,4,5,2,0,0.331962,"39975.5 37320 5.74 9.90449",6.72005
../../data/output_uniformly_accelerated.csv,4,6,2,0,0.328834,"39976 37420 5.645 9.74111",6.01528
../../data/output_uniformly_accelerated.csv,4,7,2,0,0.333652,"39902.9 37200 5.79 9.96317",6.3437
../../data/output_uniformly_accelerated.csv,4,8,2,0,0.328761,"39984.6 37140 5.535 9.705",5.79941
../../data/output_uniformly_accelerated.csv,4,9,2,0,0.313063,"39544 37240 5.32 9.01",6.15568
../../data/output_uniformly_accelerated.csv,4,10,2,0,0.333892,"39919.9 37180 5.785 9.93045",6.89356
../../data/output_uniformly_accelerated.csv,6,1,2,0,0.334628,"39913.3 38760 9.92659 9.87399 0.0028 0.00844",7.39367
../../data/output_uniformly_accelerated.csv,6,2,2,0,0.322223,"38984.3 39097.4 7.545 5.795 0.00362 0.00964241",7.50127
../../data/output_uniformly_accelerated.csv,6,3,2,0,0.284051,"30440 31280 9.96463 5.92 0.0022 0.00880638",7.88462
