input_file,DIMENSIONS,SEED,SAMPLING_TIME,PARAM_SET,FITNESS,SOLUTION,ELAPSED_TIME
output_linear.csv,4,1,2,0,0.213768,"31771.359375 30999.070312 9.936771 9.960065",1.199612 seconds
output_linear.csv,4,2,2,0,0.198632,"28896.279297 28397.394531 9.938774 9.400758",1.061257 seconds
output_linear.csv,4,3,2,0,0.216580,"32584.988281 32069.976562 9.947259 9.969061",1.105540 seconds
output_linear.csv,4,4,2,0,0.203377,"29714.492188 29114.292969 9.970278 9.779316",1.193452 seconds
output_linear.csv,4,5,2,0,0.217457,"32895.210938 32167.699219 9.939958 9.973134",1.188628 seconds
output_linear.csv,4,6,2,0,0.201181,"28807.199219 28443.035156 9.977297 9.323227",1.172166 seconds
output_linear.csv,4,7,2,0,0.216603,"31796.636719 30959.103516 9.984406 9.953440",1.170823 seconds
output_linear.csv,4,8,2,0,0.214039,"31986.511719 31204.234375 9.943724 9.882046",1.254817 seconds
output_linear.csv,4,9,2,0,0.220515,"33403.777344 32851.851562 9.995191 9.985856",1.240691 seconds
output_linear.csv,4,10,2,0,0.226677,"31825.585938 31453.982422 9.997578 9.989265",1.269327 seconds
output_linear.csv,6,1,2,0,0.364106,"39285.253906 38786.164062 8.612894 9.983913 0.001421 0.001033",1.590292 seconds
output_linear.csv,6,2,2,0,0.335237,"39798.937500 39604.093750 6.621121 6.357292 -0.001989 -0.002779",1.502250 seconds
output_linear.csv,6,3,2,0,0.256202,"39230.535156 38593.894531 5.169518 5.107855 0.001848 0.001749",1.359100 seconds
output_linear.csv,6,4,2,0,0.345082,"39681.546875 39650.554688 9.945125 9.762913 -0.004474 -0.005232",1.579055 seconds
output_linear.csv,6,5,2,0,0.349369,"25280.007812 25129.373047 9.981743 9.809361 0.008288 0.009906",1.492076 seconds
output_linear.csv,6,6,2,0,0.340429,"39694.046875 39786.617188 9.774179 9.973667 -0.003033 -0.003720",1.352470 seconds
output_linear.csv,6,7,2,0,0.315852,"39946.898438 39599.980469 9.706347 9.985527 -0.004494 -0.005559",1.579040 seconds
output_linear.csv,6,8,2,0,0.323154,"39532.015625 39547.085938 8.669100 9.432831 -0.002554 -0.003655",1.359850 seconds
output_linear.csv,6,9,2,0,0.327527,"24468.013672 24407.550781 9.906157 9.640770 0.008032 0.009367",1.383309 seconds
output_linear.csv,6,10,2,0,0.384723,"39480.085938 39814.734375 9.879990 9.975430 -0.002496 -0.002971",1.504419 seconds
output_linear.csv,8,1,2,0,0.667438,"39453.281250 37457.390625 9.996760 6.380936 -0.002122 0.009285 0.000084 0.000097",1.768105 seconds
output_linear.csv,8,2,2,0,0.600832,"39680.406250 37943.726562 9.853164 9.525406 -0.009279 -0.004944 0.000074 0.000086",1.751029 seconds
output_linear.csv,8,3,2,0,0.751685,"33046.773438 31631.447266 8.959957 9.979231 0.006379 0.007919 0.000057 0.000070",1.500567 seconds
output_linear.csv,8,4,2,0,0.620088,"39362.437500 37300.734375 9.869770 9.558044 -0.006384 -0.001749 0.000072 0.000084",1.689358 seconds
output_linear.csv,8,5,2,0,0.714210,"39340.429688 38498.492188 9.807775 5.852382 0.000244 0.009501 0.000080 0.000096",1.758056 seconds
output_linear.csv,8,6,2,0,0.588587,"39588.710938 37114.257812 9.576244 9.535337 -0.008541 -0.004168 0.000062 0.000071",1.526453 seconds
