INPUT_FILE,DIMENSIONS,SEED,PARAM_SET,SAMPLING_TIME,FITNESS,SOLUTION,ELAPSED_TIME
../../data/output_linear.csv,4,1,0,2,0.211833,"32366.746559417545 31673.01042284887 9.959815984517125 9.917749573338947",110.60
../../data/output_linear.csv,4,2,0,2,0.204187,"31770.73853696976 31130.571557410087 9.976996920584838 9.88618798249287",104.46
../../data/output_linear.csv,4,3,0,2,0.214711,"30954.01092560128 30578.461682689347 9.968182079241423 9.869373593258388",113.41
../../data/output_linear.csv,4,4,0,2,0.199526,"30825.363836649754 30334.278716374007 9.968419087570968 9.6132440403886",106.48
../../data/output_linear.csv,4,5,0,2,0.205322,"29597.051746306443 29309.07692711473 9.972868760587229 9.333585639690785",111.48
../../data/output_linear.csv,4,6,0,2,0.203051,"30522.334670293116 29936.08277044338 9.990837865188876 9.882926269145443",110.61
../../data/output_linear.csv,4,7,0,2,0.209854,"32291.565656508177 31755.011300009486 9.996672715064078 9.980189733851883",114.85
../../data/output_linear.csv,4,8,0,2,0.207949,"30514.032625198306 29750.00128100624 9.989932040286085 9.897416253151103",110.41
../../data/output_linear.csv,4,9,0,2,0.220210,"33013.695397403164 32330.091356312347 9.981584937552306 9.966270285543121",106.08
../../data/output_linear.csv,4,10,0,2,0.206722,"31514.454909952663 31137.330369107913 9.99240361799464 9.881712391501997",112.04
../../data/output_linear.csv,6,1,0,2,0.352692,"39849.185005893065 38519.604095030794 5.441446324674178 5.834548934811569 0.008157117180947521 0.009805108517623578",133.35
../../data/output_linear.csv,6,2,0,2,0.333836,"39878.71878423939 39562.29075378364 9.826186746799255 9.948318974903433 -0.0032444504262251076 -0.0038695575050047308",142.50
../../data/output_linear.csv,6,3,0,2,0.331656,"39701.54283207918 39569.109983149596 9.426063782750031 9.71422764583049 -0.001777187092531371 -0.0022398530443041367",131.85
../../data/output_linear.csv,6,4,0,2,0.363423,"39887.746643731436 38491.469965399156 5.257191405033533 7.168146729206976 0.008594268882327361 0.009039561944916773",133.17
../../data/output_linear.csv,6,5,0,2,0.362972,"39956.74769018014 39944.276349862295 9.659499907916082 9.976721614879759 -0.004074961087481015 -0.005235483342748049",135.17
../../data/output_linear.csv,6,6,0,2,0.361276,"39702.85095036641 39738.683097805886 6.7636605927598925 7.76469085399044 2.9101492958379105e-06 -0.0009764653943432969",133.28
../../data/output_linear.csv,6,7,0,2,0.384467,"36655.393082580915 35041.096107831996 8.12722482112163 9.902599577268088 0.008821295368272268 0.009717340367817002",129.71
../../data/output_linear.csv,6,8,0,2,0.284601,"38178.58254360758 36930.881844524636 7.948956341961187 8.940185480105916 0.0025117029361755566 0.0026446154842886364",137.67
../../data/output_linear.csv,6,9,0,2,0.359132,"39749.51268877733 39071.232566648614 5.124241193004908 5.681505580860218 0.008430748394670456 0.009693982527000279",137.20
../../data/output_linear.csv,6,10,0,2,0.343879,"39261.75942898223 37504.12567793829 5.1206461453239385 6.7186699928447275 0.008912082975331017 0.009962827532258937",138.65
../../data/output_linear.csv,8,1,0,2,0.681937,"38095.24284312621 36342.1475632814 9.707862970267701 9.952525874303848 -0.009385627389523704 -0.006953611742093248 7.81148369750233e-05 9.441058437237975e-05",159.75
../../data/output_linear.csv,8,2,0,2,0.697192,"39591.4300644734 39056.42874380786 9.925621149025243 5.406373712388507 -0.001372864244502012 0.006384113688682884 8.133263526064116e-05 9.971130953453256e-05",163.04
../../data/output_linear.csv,8,3,0,2,0.587375,"29688.001178084618 28919.743215209703 8.98626068449035 9.936421992149217 0.006660452128744393 0.008956971026088638 -2.8114858966836985e-06 -4.776727403158062e-06",159.45
../../data/output_linear.csv,8,4,0,2,0.659312,"39982.11914641787 39387.54187763249 9.876977310147367 5.683932713182801 -0.0013509547645762753 0.009871785282824187 8.663413368164602e-05 9.955900901815631e-05",164.80
../../data/output_linear.csv,8,5,0,2,0.530725,"33111.596034485236 31809.08464290193 5.9665775015409 5.080792168015702 0.004673374914289699 0.00916755503209944 4.101772152953808e-05 4.7104811681896176e-05",158.56
../../data/output_linear.csv,8,6,0,2,0.674544,"39785.04716714927 39109.73012600918 9.799080294913015 6.044000081544821 -0.002907444877037948 0.0067254848625968675 7.945207596054758e-05 9.360084377595987e-05",161.39
../../data/output_linear.csv,8,7,0,2,0.658741,"39909.46754007369 38378.299291410876 9.816890634071969 9.919077570464932 -0.0027667696432822405 0.0005120773076334687 6.367191673631736e-05 7.693965919935908e-05",155.63
../../data/output_linear.csv,8,8,0,2,0.680741,"39520.34213569833 37853.80111176637 9.946024018040628 6.749379310284421 0.000991146281883343 0.009760595947119277 7.532630610413721e-05 9.010859457573841e-05",157.87
../../data/output_linear.csv,8,9,0,2,0.682765,"39252.095989698144 38012.011207975156 9.882901645650975 6.9041374112300815 -0.00419621629991527 0.008593766595212658 7.236352863623372e-05 7.678680402942234e-05",155.21
../../data/output_linear.csv,8,10,0,2,0.643487,"39466.847594208215 38370.670850833456 9.628240602683126 9.639997955136122 -0.006675470184121757 -0.0074204686867111475 7.079478054613254e-05 8.862552134858885e-05",158.26
../../data/output_polynomial.csv,4,1,0,2,211.424949,"38297.16990258888 20131.189518519936 9.99923365262232 5.527866865517567",110.57
../../data/output_polynomial.csv,4,2,0,2,209.446912,"37941.72630068764 23025.596056855862 9.800765360066402 5.142077907767519",114.35
../../data/output_polynomial.csv,4,3,0,2,205.235021,"37597.536011804514 21265.2090815599 9.87340451049893 5.081189429049647",112.80
../../data/output_polynomial.csv,4,4,0,2,209.640132,"37336.837349501126 22459.9162074561 9.73752208971689 5.103933912145757",108.21
../../data/output_polynomial.csv,4,5,0,2,202.828126,"37985.56331608584 20392.333881631097 9.932256485456646 5.013665687644144",107.42
../../data/output_polynomial.csv,4,6,0,2,207.467463,"39666.168976244226 21289.56427187188 9.62254846400189 5.140960134187001",108.65
../../data/output_polynomial.csv,4,7,0,2,213.199985,"38639.94265829709 24499.12118735915 9.615116138281437 5.0827117855775255",114.39
../../data/output_polynomial.csv,4,8,0,2,207.933341,"37914.76333554411 22477.13877220915 9.992924911559214 5.248708987771",114.51
../../data/output_polynomial.csv,4,9,0,2,207.519318,"39937.669254728185 23895.513266913542 9.993581057944235 5.286681493306093",107.96
../../data/output_polynomial.csv,4,10,0,2,205.578370,"39691.278840884224 20419.68741974821 9.605944469949463 5.002003118613886",111.80
../../data/output_polynomial.csv,6,1,0,2,1.044748,"24822.177950874167 25666.20231213711 6.130260401890279 7.246565859280971 0.005971461385584622 -0.008924319839656433",133.27
../../data/output_polynomial.csv,6,2,0,2,0.679579,"22890.46344376432 25083.736643242093 7.7474173606173 7.323015902936909 0.0036832527055940204 -0.008926443102559557",131.06
../../data/output_polynomial.csv,6,3,0,2,2.497710,"24360.036362442243 28451.056216080244 6.433845141420024 5.755391154132246 0.0071467863692805614 -0.008389764278514261",137.44
../../data/output_polynomial.csv,6,4,0,2,1.624293,"26763.486955318247 27018.792509918305 5.879663726560393 7.571506936584374 0.0053792854023805604 -0.008772777567299207",133.55
../../data/output_polynomial.csv,6,5,0,2,0.923677,"24310.256434123086 24746.091414727616 5.983683687262163 7.682929628689299 0.005426752815369482 -0.008590641007735685",138.30
../../data/output_polynomial.csv,6,6,0,2,1.422761,"22835.330388689472 24647.60220652459 6.446667095825351 8.688549050909987 0.00519387131266609 -0.009314924500698138",145.21
../../data/output_polynomial.csv,6,7,0,2,2.024578,"34540.379611884026 35308.078913662575 7.020492463780767 6.246035974007436 0.005214196418046246 -0.009862320439471746",131.33
../../data/output_polynomial.csv,6,8,0,2,1.758610,"25615.797246746588 25776.74190638513 6.695342777579844 5.6012566713787475 0.0026135642918746725 -0.008148062888623561",136.25
../../data/output_polynomial.csv,6,9,0,2,1.017382,"30001.58462626722 29806.451874178703 6.753946129049196 7.119876885943462 0.0032496738177168524 -0.009807977119474627",137.44
../../data/output_polynomial.csv,6,10,0,2,1.832669,"29771.275258610756 32446.195960784302 7.1037477374848095 5.356728494765539 0.005019180653848647 -0.009149621111854087",137.99
../../data/output_polynomial.csv,8,1,0,2,0.823510,"36366.18910837466 36137.39105174705 8.772246984925495 9.528070381228792 0.006026520767662991 -0.005898925353092287 4.974951775925932e-07 -6.1042284588645865e-06",159.09
../../data/output_polynomial.csv,8,2,0,2,0.495980,"28710.45008197913 29798.284164183176 8.951312236776769 9.66932735882969 0.0071058649466864635 0.0008904488791355563 3.692922719726382e-06 -1.1549963235486335e-05",162.04
../../data/output_polynomial.csv,8,3,0,2,2.330679,"39904.54287962865 38736.571762069434 9.27178876824914 5.996541162060373 -0.005532936802757639 0.0048217599609873835 1.597824341033341e-05 -1.6083575960614083e-05",160.00
../../data/output_polynomial.csv,8,4,0,2,1.343565,"25291.669686470654 27067.20909746308 7.389780657369817 5.629868460747386 0.0062070046794830466 0.009117715518286116 7.03209055522705e-06 -1.6061840348634762e-05",157.67
